nse_symbol,company_name,screener_slug,screener_name
DEEPAKNTR,Deepak Nitrite Ltd.,DEEPAKNTR,Deepak Nitrite Ltd
DELHIVERY,Delhivery Ltd.,DELHIVERY,Delhivery Ltd
DEVYANI,Devyani International Ltd.,DEVYANI,Devyani International Ltd
DIXON,Dixon Technologies (India) Ltd.,DIXON,Dixon Technologies (India) Ltd
EIHOTEL,EIH Ltd.,EIHOTEL,EIH Ltd
EICHERMOT,Eicher Motors Ltd.,EICHERMOT,Eicher Motors Ltd
ELGIEQUIP,Elgi Equipments Ltd.,ELGIEQUIP,Elgi Equipments Ltd
EMAMILTD,Emami Ltd.,EMAMILTD,Emami Ltd
EMCURE,Emcure Pharmaceuticals Ltd.,EMCURE,Emcure Pharmaceuticals Ltd
EMMVEE,Emmvee Photovoltaic Power Ltd.,EMMVEE,Emmvee Photovoltaic Power Ltd
ENDURANCE,Endurance Technologies Ltd.,ENDURANCE,Endurance Technologies Ltd
ENGINERSIN,Engineers India Ltd.,ENGINERSIN,Engineers India Ltd
ERIS,Eris Lifesciences Ltd.,ERIS,ERIS Lifesciences Ltd
ESCORTS,Escorts Kubota Ltd.,ESCORTS,Escorts Kubota Ltd
ETERNAL,Eternal Ltd.,ETERNAL,Eternal Ltd
EXIDEIND,Exide Industries Ltd.,EXIDEIND,Exide Industries Ltd
NYKAA,FSN E-Commerce Ventures Ltd.,NYKAA,FSN E-Commerce Ventures Ltd
FEDERALBNK,Federal Bank Ltd.,FEDERALBNK,Federal Bank Ltd
FINCABLES,Finolex Cables Ltd.,FINCABLES,Finolex Cables Ltd
FSL,Firstsource Solutions Ltd.,FSL,Firstsource Solutions Ltd
FIVESTAR,Five-Star Business Finance Ltd.,FIVESTAR,Five-Star Business Finance Ltd
FORCEMOT,Force Motors Ltd.,FORCEMOT,Force Motors Ltd
FORTIS,Fortis Healthcare Ltd.,FORTIS,Fortis Healthcare Ltd
GAIL,GAIL (India) Ltd.,GAIL,GAIL (India) Ltd
GVT&D,GE Vernova T&D India Ltd.,GVT&D,GE Vernova T&D India Ltd
GMRAIRPORT,GMR Airports Ltd.,GMRAIRPORT,GMR Airports Ltd
GABRIEL,Gabriel India Ltd.,GABRIEL,Gabriel India Ltd
GALLANTT,Gallantt Ispat Ltd.,GALLANTT,Gallantt Ispat Ltd.
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,GRSE,Garden Reach Shipbuilders & Engineers Ltd
GICRE,General Insurance Corporation of India,GICRE,General Insurance Corporation of India
GILLETTE,Gillette India Ltd.,GILLETTE,Gillette India Ltd
GLAND,Gland Pharma Ltd.,GLAND,Gland Pharma Ltd
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,Glaxosmithkline Pharmaceuticals Ltd
GLENMARK,Glenmark Pharmaceuticals Ltd.,GLENMARK,Glenmark Pharmaceuticals Ltd
MEDANTA,Global Health Ltd.,MEDANTA,Global Health Ltd
GODIGIT,Go Digit General Insurance Ltd.,GODIGIT,Go Digit General Insurance Ltd
GPIL,Godawari Power & Ispat Ltd.,GPIL,Godawari Power & Ispat Ltd
GODFRYPHLP,Godfrey Phillips India Ltd.,GODFRYPHLP,Godfrey Phillips India Ltd
