holding_id,snapshot_id,security_name,isin,pct
95da7499-17f1-4e56-9623-b2a725ccf783,00740c1c-d453-4d65-b6bd-9d516970290f,Units of Real Estate Investment Trust (REITs),,0.599299
28526ddc-390c-4e45-b580-a3237f879957,00740c1c-d453-4d65-b6bd-9d516970290f,Units of an Alternative Investment Fund (AIF),,0.298009
cccce931-565b-4785-aac2-a4604516d003,46213c92-96d2-4685-92ef-e55ef29def87,Equity & Equity Related Instruments,,22.434543
c6ff132d-cd85-4f3e-b0a8-22fc9809434c,0bdbf472-db08-4474-8ea8-eb9d3aa6e74e,Units of an Alternative Investment Fund (AIF),,0.399678
769d444b-dbc7-4973-8688-0f85da5cbfc9,0ddca12e-803d-43b0-8d0d-ce205251b07c,Units of an Alternative Investment Fund (AIF),,0.329326
fb98dae2-bd69-4d7d-8044-183145b777a3,c270ee50-c1be-4915-b444-56e3d3bf9067,Units of an Alternative Investment Fund (AIF),,0.319107
39b35d82-558a-4766-9be9-3e5c8b4fbb87,4b74a33c-c2ff-4caa-a53b-80c5608e27a1,Units of an Alternative Investment Fund (AIF),,0.2672
3e7d44e0-f7de-4b9a-bc87-4efe2155f7d4,fd385805-013f-4f1a-9b51-3683b1a918b9,Units of an Alternative Investment Fund (AIF),,0.328413
49614ddc-136d-44f9-b353-2789c5a58a81,a764dfce-aaea-4066-a1bc-f5e761312160,Units of an Alternative Investment Fund (AIF),,0.350384
96f14c2d-6fc2-4a1d-94ba-32f3d7de797b,adb48cf9-c93a-4f68-8f59-7aa2a3c413f5,Units of an Alternative Investment Fund (AIF),,0.461117
fa4608cb-cd32-48d6-88f9-2ae45a35ebdf,2fb6c459-1c7f-4497-9da6-5500c8e872b5,Equity & Equity Related Instruments,,23.921551
b32f52db-9791-4746-94df-55b04d73d96f,2fb6c459-1c7f-4497-9da6-5500c8e872b5,Units of Real Estate Investment Trust (REITs),,0.714575
5d36d18e-7f48-4f72-a530-4c8e226db30c,2fb6c459-1c7f-4497-9da6-5500c8e872b5,Units of an Alternative Investment Fund (AIF),,0.296696
603ef39b-2372-4339-82d3-1d7ac9d93915,14e71298-dba0-4f0b-8f56-9c57d9dc52ae,Equity & Equity Related Instruments,,21.662894
32a4678a-8aa4-4c05-a10a-6b4dd110b8d5,ea9d8147-cf0d-4b2f-b52a-3c51772bdff3,Units of an Alternative Investment Fund (AIF),,0.401755
c19c89b8-c6c0-476a-af0a-7a51aca18385,9e586f1d-1b8c-40de-b4b5-9dad09f8db87,Units of an Alternative Investment Fund (AIF),,0.33316
2f6755ae-8de0-4420-bc82-588fb2124394,f390d864-0f9a-4aac-931f-b1b74176c72b,Units of an Alternative Investment Fund (AIF),,0.31176
8b829b0e-836a-4cff-a2c6-b0eee01b659f,1881ba2f-6aac-4a52-9f5e-f9c8371b5c90,Units of an Alternative Investment Fund (AIF),,0.326253
90801264-ba2d-47ac-b2c1-d830686c7688,5106491c-b0df-4e25-a128-bc0d5370f6b9,Units of an Alternative Investment Fund (AIF),,0.350796
10064837-6fe0-41a4-926d-12130d792629,4d6c6a64-781e-4d7c-a8ed-1287ee0fd44a,Units of an Alternative Investment Fund (AIF),,0.458782
985bae56-5057-42cd-a603-33509f322a47,d890f448-3dbe-438b-893d-8b0bca92b8a2,Equity & Equity Related Instruments,,23.048599
baf1134b-6d3e-483f-85bf-9cbda5159eb9,83041765-0026-4d4e-b9bd-25e82ae263d1,Units of an Alternative Investment Fund (AIF),,0.326466
f5a9dc05-c7a6-4134-a930-337ac64c448d,bcddfd56-f220-46b8-849a-eb391695dc96,Equity & Equity Related Instruments,,5.178178
5cc45a48-834f-472d-9986-7052683822b2,bcddfd56-f220-46b8-849a-eb391695dc96,Units of Real Estate Investment Trust (REITs),,5.178178
717bc5ec-7833-43bb-be70-4f9ffd4ab25d,bcddfd56-f220-46b8-849a-eb391695dc96,Units of an Alternative Investment Fund (AIF),,0.376062
71c04890-5046-493f-b56b-2894730ba1e0,ea55916d-8892-4883-856a-fa81947ce720,Units of an Alternative Investment Fund (AIF),,0.430704
7d2e5cf0-37b9-4aa0-b47a-6fa8b78f459b,e8fb8c8f-2f7f-41ae-950c-0710f3232c30,Units of an Alternative Investment Fund (AIF),,0.2257
73ef5447-262d-4c94-bc6f-41795ea68e25,2d11f82e-adec-4429-bd0b-074a74f19cb1,Units of an Alternative Investment Fund (AIF),,0.394004
300f2124-3819-4623-9847-d24fb7c6a663,7c8dcf52-21e4-409d-918a-a34afa274143,Units of Real Estate Investment Trust (REITs),,4.912214
f7e52cf3-0743-49b1-87f1-ed58b9141597,7c8dcf52-21e4-409d-918a-a34afa274143,Units of an Alternative Investment Fund (AIF),,0.348903
d13ee2b4-30aa-415a-b04d-24e305888eca,221e459f-adad-4e04-97a9-8127b38aaa48,Equity & Equity Related Instruments,,4.956642
7a171431-31c7-47c8-ac8f-16ed7dd1f0b7,221e459f-adad-4e04-97a9-8127b38aaa48,Units of Real Estate Investment Trust (REITs),,4.956642
a7552bc1-ba8f-4597-9cb3-9104cb58ba48,221e459f-adad-4e04-97a9-8127b38aaa48,Units of an Alternative Investment Fund (AIF),,0.348195
588fce31-d530-4683-8a12-56ea9c4c9de1,9fd2e38f-9846-4a04-ba4f-f9423d6353dd,Units of an Alternative Investment Fund (AIF),,0.296164
7a2040fe-6e17-4316-90a7-ce595e0e4d1a,d890f448-3dbe-438b-893d-8b0bca92b8a2,Units of Real Estate Investment Trust (REITs),,1.1045
4b9bc516-4e20-4b33-a878-1f0ca4de1427,d890f448-3dbe-438b-893d-8b0bca92b8a2,Units of an Alternative Investment Fund (AIF),,0.2975
5f95bb73-b18a-47b5-b4ec-de7ba0953507,c2e1efb7-370b-463b-b0de-f5317ef5d117,Equity & Equity Related Instruments,,20.540736
9d19ff93-b8e7-487c-8e27-56a11f2327dc,faf3b901-7fb8-4bf0-8fe3-944ef0aa071f,Units of an Alternative Investment Fund (AIF),,0.387258
4ab82007-b33a-487e-98ad-9daafe3b6428,bcf72b4b-e55c-473c-bb1e-3c559343650c,Units of an Alternative Investment Fund (AIF),,0.329422
