holding_id,snapshot_id,security_name,isin,percentage_to_nav
dddab2ca-fb98-455e-ab0d-42ca9b6555d4,0ddca12e-803d-43b0-8d0d-ce205251b07c,Zero Coupon Bonds / Deep Discount Bonds,,1.255485
8ecc462c-4f90-4b4e-b736-1d8a8b6cfc56,c270ee50-c1be-4915-b444-56e3d3bf9067,Non-Convertible debentures / Bonds,,37.37478
42393fcc-cce5-43d9-b6f9-a3606f672420,fd385805-013f-4f1a-9b51-3683b1a918b9,Non-Convertible debentures / Bonds,,42.529979
fcdb1c88-42c8-49e7-a2b7-73a72a2d4545,fd385805-013f-4f1a-9b51-3683b1a918b9,Zero Coupon Bonds / Deep Discount Bonds,,1.296724
122b52fc-34ca-4715-a2db-d5637c632573,a764dfce-aaea-4066-a1bc-f5e761312160,Non-Convertible debentures / Bonds,,72.406959
9f835421-6497-4d07-868e-0bdd6727b228,adb48cf9-c93a-4f68-8f59-7aa2a3c413f5,Non-Convertible debentures / Bonds,,34.626778
f2c76b2d-5301-45f9-ad47-11bafd5f169b,60429457-a855-417c-91dc-b909a5656c26,Non-Convertible debentures / Bonds,,38.62295
dcc79534-b4cf-448c-ae55-544b145f7578,2fb6c459-1c7f-4497-9da6-5500c8e872b5,Non-Convertible debentures / Bonds,,51.008394
594808a5-6be2-4c4a-9969-bb0d2ca577a2,14e71298-dba0-4f0b-8f56-9c57d9dc52ae,Non-Convertible debentures / Bonds,,21.912784
c3f025bf-75be-4386-957e-14ebfd657c77,84816a59-fc64-4803-b136-d4cf1b547c0d,Non-Convertible debentures / Bonds,,49.322367
0878aef4-3512-4543-8bed-91889431a468,ea9d8147-cf0d-4b2f-b52a-3c51772bdff3,Non-Convertible debentures / Bonds,,46.773815
90aad032-658b-4419-b5a0-6a5d0892eccb,ea9d8147-cf0d-4b2f-b52a-3c51772bdff3,Zero Coupon Bonds / Deep Discount Bonds,,1.339038
1b56799b-b9eb-491e-b815-9b75345af6f7,9e586f1d-1b8c-40de-b4b5-9dad09f8db87,Non-Convertible debentures / Bonds,,69.886294
9b99feb8-6218-43d9-a7b8-72e93472883a,9e586f1d-1b8c-40de-b4b5-9dad09f8db87,Zero Coupon Bonds / Deep Discount Bonds,,1.267329
73b7889e-f2a8-4825-a641-05d89f956037,f390d864-0f9a-4aac-931f-b1b74176c72b,Non-Convertible debentures / Bonds,,36.70912
22577ddc-022a-45c9-ba60-e516fa9b8221,1881ba2f-6aac-4a52-9f5e-f9c8371b5c90,Non-Convertible debentures / Bonds,,40.833583
833e27eb-90a9-4b13-bff7-3857a7d87648,1881ba2f-6aac-4a52-9f5e-f9c8371b5c90,Zero Coupon Bonds / Deep Discount Bonds,,1.285383
ce6dcc55-c8de-49fd-9d7d-20b3238260c7,5106491c-b0df-4e25-a128-bc0d5370f6b9,Non-Convertible debentures / Bonds,,72.899624
34aa86f5-f202-478f-a93d-f276d32ad339,4d6c6a64-781e-4d7c-a8ed-1287ee0fd44a,Non-Convertible debentures / Bonds,,34.537994
49433d69-e3e2-47b4-b53f-be980a8f8e96,83041765-0026-4d4e-b9bd-25e82ae263d1,Non-Convertible debentures / Bonds,,61.184303
46db3206-e603-4838-8cf4-7019136ea4bc,bcddfd56-f220-46b8-849a-eb391695dc96,Non-Convertible debentures / Bonds,,69.006266
5dec4093-9ac3-405d-93e5-e784e1a08699,bcddfd56-f220-46b8-849a-eb391695dc96,Zero Coupon Bonds / Deep Discount Bonds,,3.957576
61ff94d1-cb27-41e3-bb7b-af6b9f6513c6,8cbf0f33-b09e-4f19-ad85-519d85b2a328,Non-Convertible debentures / Bonds,,41.93252
f3844dd0-73f6-4cc6-92c7-19f4df24f090,ea55916d-8892-4883-856a-fa81947ce720,Non-Convertible debentures / Bonds,,67.618353
c5d977d3-36ff-417f-b911-f11862042994,e8fb8c8f-2f7f-41ae-950c-0710f3232c30,Non-Convertible debentures / Bonds,,4.078857
f4bcd9a5-eab7-4db6-965b-f3a64329a45a,2d11f82e-adec-4429-bd0b-074a74f19cb1,Non-Convertible debentures / Bonds,,0.012525
eac2080c-6504-458f-9490-dfe3420f6867,7c8dcf52-21e4-409d-918a-a34afa274143,Non-Convertible debentures / Bonds,,63.693284
122903b6-c001-4497-b275-3ca8989d5e57,7c8dcf52-21e4-409d-918a-a34afa274143,Zero Coupon Bonds / Deep Discount Bonds,,2.922556
a86a37b1-74ee-4f86-b049-87144adaafe6,221e459f-adad-4e04-97a9-8127b38aaa48,Non-Convertible debentures / Bonds,,63.83349
2fb71d62-943e-4a0c-be8f-2636c201a139,221e459f-adad-4e04-97a9-8127b38aaa48,Zero Coupon Bonds / Deep Discount Bonds,,2.927117
