id,run_id,url,canonical_url,parent_url,domain,title,status_code,content_type,page_relevance,source_authority_type,html_snapshot_path,screenshot_path,network_log_path,metadata_json,created_at
203fb193-7e54-4580-991b-241f16aab5b5,2baa6263-7dc2-4ff5-a866-1afdadb26e07,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:29:53.677400+00:00
aaecdb25-19cd-44e0-953b-a091f31dd978,2baa6263-7dc2-4ff5-a866-1afdadb26e07,https://mutualfund.adityabirlacapital.com/,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:29:56.141323+00:00
589241ea-9720-4b0c-979c-8fbca467a48e,2baa6263-7dc2-4ff5-a866-1afdadb26e07,https://portfoliomanagementservices.adityabirlacapital.com/,portfoliomanagementservices.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,portfoliomanagementservices.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:29:58.297128+00:00
b41ac703-7163-432c-9f7b-2c201e730491,2baa6263-7dc2-4ff5-a866-1afdadb26e07,https://mutualfund.adityabirlacapital.com/consent-of-unitholders,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:30:13.546508+00:00
19f77322-ffd4-4086-accf-71c7ef69595a,2baa6263-7dc2-4ff5-a866-1afdadb26e07,https://mutualfund.adityabirlacapital.com/forms-and-downloads/factsheets,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:30:15.501824+00:00
80bc3640-235d-4176-a5dd-ab638d1481ae,a154fff1-2ba0-4bcf-bf27-da570a27695a,https://www.icicipruamc.com/media-center/downloads?currentTabFilter=OtherSchemeDisclosures&&subCatTabFilter=FortnightlyPortfolioDisclosures,icicipruamc.com,,icicipruamc.com,,404,,failed,,,,,{},2026-06-29 06:30:44.635166+00:00
597609cf-b1b2-46a4-8120-5edb35134b5c,3d4c208b-addb-4b73-89a8-9066311e9cfb,https://amc.ppfas.com/downloads/,amc.ppfas.com,,amc.ppfas.com,,200,text/html,high,,,,,{},2026-06-29 06:30:49.916842+00:00
f01c2530-6d6c-42f6-a0b4-c991f893e610,3d4c208b-addb-4b73-89a8-9066311e9cfb,https://amc.ppfas.com/index.php,amc.ppfas.com,https://amc.ppfas.com/downloads/,amc.ppfas.com,,200,text/html,high,,,,,{},2026-06-29 06:30:54.895034+00:00
523820ff-630e-4f40-b125-20fa6bc29157,3d4c208b-addb-4b73-89a8-9066311e9cfb,https://amc.ppfas.com/about-us,amc.ppfas.com,https://amc.ppfas.com/downloads/,amc.ppfas.com,,200,text/html,high,,,,,{},2026-06-29 06:31:29.917594+00:00
0f580ab3-c72b-4b61-8716-92db7f0e6f20,3d4c208b-addb-4b73-89a8-9066311e9cfb,https://amc.ppfas.com/schemes,amc.ppfas.com,https://amc.ppfas.com/downloads/,amc.ppfas.com,,200,text/html,high,,,,,{},2026-06-29 06:31:37.780460+00:00
61487082-b891-4b33-a980-85c10fa55048,3d4c208b-addb-4b73-89a8-9066311e9cfb,https://amc.ppfas.com/investor-desk,amc.ppfas.com,https://amc.ppfas.com/downloads/,amc.ppfas.com,,200,text/html,high,,,,,{},2026-06-29 06:31:43.092933+00:00
84024ae5-449b-49a5-a372-2d61237c6975,fd1040ef-2ede-4433-94e5-7f282ec3e392,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:32:25.859480+00:00
5f54f0ed-46d4-48c8-a126-66f250b83cdf,fd1040ef-2ede-4433-94e5-7f282ec3e392,https://mutualfund.adityabirlacapital.com/,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:32:29.358170+00:00
2a48d1f0-b34f-422e-b603-1f4015ca5b40,fd1040ef-2ede-4433-94e5-7f282ec3e392,https://portfoliomanagementservices.adityabirlacapital.com/,portfoliomanagementservices.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,portfoliomanagementservices.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:32:31.140161+00:00
338832c8-bb92-4bbd-98ff-6b51dffe3b3b,fd1040ef-2ede-4433-94e5-7f282ec3e392,https://mutualfund.adityabirlacapital.com/consent-of-unitholders,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:32:39.962673+00:00
8af85ef1-cc82-4349-90dd-6345e163fa2c,fd1040ef-2ede-4433-94e5-7f282ec3e392,https://mutualfund.adityabirlacapital.com/forms-and-downloads/factsheets,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:32:43.491267+00:00
8c6fc2ca-e9a2-47a0-936c-78341b7f9d29,fd1040ef-2ede-4433-94e5-7f282ec3e392,https://mutualfund.adityabirlacapital.com/historical_nav_and_dividend,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:32:45.454662+00:00
4b285840-08df-4636-acf6-0719f9d0a7c9,fd1040ef-2ede-4433-94e5-7f282ec3e392,https://mutualfund.adityabirlacapital.com/mitra,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:32:47.247234+00:00
b84dcd29-88cf-4391-be1b-8061731ce532,fd1040ef-2ede-4433-94e5-7f282ec3e392,https://mutualfund.adityabirlacapital.com/forms-and-downloads/total-expense-ratio,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:32:49.139022+00:00
0f57f02f-1544-4f80-b82e-8729ecf6b196,fd1040ef-2ede-4433-94e5-7f282ec3e392,https://mutualfund.adityabirlacapital.com/forms-and-downloads/scheme-risk-o-meter,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:32:50.332635+00:00
73f6962a-c480-47d7-b68c-dad918aba8a3,fd1040ef-2ede-4433-94e5-7f282ec3e392,https://mutualfund.adityabirlacapital.com/forms-and-downloads/disclosures,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-06-29 06:32:52.083428+00:00
fd50ce11-cbb0-4f65-8793-e28f716a4a99,4b2c9b71-5412-42c1-b4b5-181fda85e469,https://amc.ppfas.com/downloads/portfolio-disclosure/,amc.ppfas.com,,amc.ppfas.com,,200,text/html,high,,,,,{},2026-08-20 15:33:59.414869+00:00
f83a0af6-742c-4594-b50b-b7b8becb29f8,554d2883-79fc-4441-bd0c-14b5a541177b,https://amc.ppfas.com/downloads/portfolio-disclosure/,amc.ppfas.com,,amc.ppfas.com,,200,text/html,high,,,,,{},2026-08-20 15:37:25.456923+00:00
becd9c8a-0d87-4c7f-aeac-a1514e86957a,720ad631-ad42-4304-971c-41fb4280a2be,https://amc.ppfas.com/downloads/portfolio-disclosure/,amc.ppfas.com,,amc.ppfas.com,,200,text/html,high,,,,,{},2026-08-20 15:42:39.907739+00:00
ed9d7b4c-7559-4d2c-af92-9696326f0670,88903f73-6972-4ca7-8c36-308235d1ff6b,https://amc.ppfas.com/downloads/portfolio-disclosure/,amc.ppfas.com,,amc.ppfas.com,,200,text/html,high,,,,,{},2026-08-20 15:44:08.401654+00:00
5893cd34-728d-4c13-99b8-43dd93c6a818,d0cdd45d-929a-4839-b4c9-4d07657d1f7d,https://amc.ppfas.com/downloads/portfolio-disclosure/,amc.ppfas.com,,amc.ppfas.com,,200,text/html,high,,,,,{},2026-08-20 15:45:40.151590+00:00
91d80fec-8d5e-4e7e-916c-bfd895979839,3ba84f35-9139-4e6a-b158-2ff623d32cf5,https://amc.ppfas.com/downloads/portfolio-disclosure/,amc.ppfas.com,,amc.ppfas.com,,200,text/html,high,,,,,{},2026-08-20 15:47:39.258234+00:00
b76fc33a-9339-45d1-8486-4f4037e1a86d,079ae59a-c94a-47e8-8100-92f30b550f8f,https://amc.ppfas.com/downloads/portfolio-disclosure/,amc.ppfas.com,,amc.ppfas.com,,200,text/html,high,,,,,{},2026-08-20 15:53:22.017525+00:00
adcb50cb-b4dc-414f-964f-3c4d4affa41e,0e0111be-d9ac-4160-b850-b1f65169b5ab,https://amc.ppfas.com/downloads/portfolio-disclosure/,amc.ppfas.com,,amc.ppfas.com,,200,text/html,high,,,,,{},2026-08-20 16:01:42.297696+00:00
3beeb31d-dc9b-4126-9785-3605cf7778bd,19d0b1b2-a4f5-4f5c-a54c-5fa1eb9fb36d,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,mutualfund.adityabirlacapital.com,,mutualfund.adityabirlacapital.com,,200,text/html,high,,,,,{},2026-08-20 16:10:52.824576+00:00
