id,started_at,finished_at,status,config_json,pages_seen,files_seen,rows_inserted,rows_rejected,error_summary
2baa6263-7dc2-4ff5-a866-1afdadb26e07,2026-06-29 06:29:51.033970+00:00,2026-06-29 06:30:15.588155+00:00,completed,"{'task_urls': ['https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio'], 'max_pages': 5, 'max_depth': 5, 'max_files': 200, 'use_browser': False, 'use_vlm': False}",5,1,0,0,"{'errors': [], 'retry_tasks': 0}"
a154fff1-2ba0-4bcf-bf27-da570a27695a,2026-06-29 06:30:42.701399+00:00,2026-06-29 06:30:44.665345+00:00,completed,"{'task_urls': ['https://www.icicipruamc.com/media-center/downloads?currentTabFilter=OtherSchemeDisclosures&&subCatTabFilter=FortnightlyPortfolioDisclosures'], 'max_pages': 5, 'max_depth': 5, 'max_files': 200, 'use_browser': False, 'use_vlm': False}",1,0,0,0,"{'errors': [{'url': 'https://www.icicipruamc.com/media-center/downloads?currentTabFilter=OtherSchemeDisclosures&&subCatTabFilter=FortnightlyPortfolioDisclosures', 'error': 'fetch_failed', 'status': 404}], 'retry_tasks': 1}"
3d4c208b-addb-4b73-89a8-9066311e9cfb,2026-06-29 06:30:48.372186+00:00,2026-06-29 06:31:52.847068+00:00,completed,"{'task_urls': ['https://amc.ppfas.com/downloads/'], 'max_pages': 5, 'max_depth': 5, 'max_files': 200, 'use_browser': False, 'use_vlm': False}",5,21,0,0,"{'errors': [], 'retry_tasks': 7}"
fd1040ef-2ede-4433-94e5-7f282ec3e392,2026-06-29 06:32:24.337128+00:00,2026-06-29 06:32:52.186855+00:00,completed,"{'task_urls': ['https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio'], 'max_pages': 10, 'max_depth': 5, 'max_files': 3, 'use_browser': False, 'use_vlm': False}",10,1,0,0,"{'errors': [], 'retry_tasks': 0}"
4b2c9b71-5412-42c1-b4b5-181fda85e469,2026-08-20 15:33:57.769870+00:00,2026-08-20 15:34:22.364081+00:00,completed,"{'task_urls': ['https://amc.ppfas.com/downloads/portfolio-disclosure/'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",1,12,5484,0,"{'errors': [], 'retry_tasks': 0}"
554d2883-79fc-4441-bd0c-14b5a541177b,2026-08-20 15:37:23.847978+00:00,2026-08-20 15:37:48.333455+00:00,completed,"{'task_urls': ['https://amc.ppfas.com/downloads/portfolio-disclosure/'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",1,12,5484,0,"{'errors': [], 'retry_tasks': 0}"
f73e1a42-134f-4eaf-9c0e-a9fc26dbae2e,2026-08-20 15:41:57.297649+00:00,2026-08-20 15:42:00.538800+00:00,failed,"{'task_urls': ['https://amc.ppfas.com/downloads/portfolio-disclosure/'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",0,0,0,0,"{'error': 'file_type', 'errors': []}"
24847e8a-e943-4328-8e72-d7e01521118a,2026-08-20 15:42:10.603326+00:00,2026-08-20 15:42:13.721839+00:00,failed,"{'task_urls': ['https://amc.ppfas.com/downloads/portfolio-disclosure/'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",0,0,0,0,"{'error': ""(psycopg2.errors.InvalidColumnReference) there is no unique or exclusion constraint matching the ON CONFLICT specification\n\n[SQL: INSERT INTO documents (id, document_type, scheme_id, reporting_date, source_url, file_type, metadata_json, created_at) VALUES (%(id)s::UUID, %(document_type)s, %(scheme_id)s::UUID, %(reporting_date)s, %(source_url)s, %(file_type)s, %(metadata_json)s::JSON, now()) ON CONFLICT (scheme_id, reporting_date, document_type, source_url) DO UPDATE SET file_type = excluded.file_type RETURNING documents.id]\n[parameters: {'id': UUID('a46c0f30-f026-40d8-9f29-7f1e6c6dd6cf'), 'document_type': 'portfolio_disclosure', 'scheme_id': UUID('2c1c7ca0-53cc-493f-b91e-3db1342a2475'), 'reporting_date': datetime.date(2026, 8, 20), 'source_url': 'https://amc.ppfas.com/downloads/portfolio-disclosure/2026/PPFAS_Monthly_Portfolio_Report_July_31_2026.xls?07082026_4', 'file_type': 'xlsx', 'metadata_json': '{}'}]\n(Background on this error at: https://sqlalche.me/e/20/f405)"", 'errors': []}"
720ad631-ad42-4304-971c-41fb4280a2be,2026-08-20 15:42:39.520950+00:00,2026-08-20 15:43:05.087611+00:00,completed,"{'task_urls': ['https://amc.ppfas.com/downloads/portfolio-disclosure/'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",1,12,5484,0,"{'errors': [], 'retry_tasks': 0}"
88903f73-6972-4ca7-8c36-308235d1ff6b,2026-08-20 15:44:07.956712+00:00,2026-08-20 15:44:33.433244+00:00,completed,"{'task_urls': ['https://amc.ppfas.com/downloads/portfolio-disclosure/'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",1,12,5484,0,"{'errors': [], 'retry_tasks': 0}"
