31,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Weekly Reinvestment of IDCW,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Weekly Reinvestment of IDCW,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Weekly Reinvestment of IDCW,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Weekly Reinvestment of IDCW
32,1001.314,,,07-Apr-2023 18:45:25
33,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Weekly Reinvestment of IDCW option,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Weekly Reinvestment of IDCW option,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Weekly Reinvestment of IDCW option,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Weekly Reinvestment of IDCW option
34,1001.2762,,,07-Apr-2023 18:45:25
35,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW
36,1000.1974,,,07-Apr-2023 18:45:25
37,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW
38,1000.1949,,,07-Apr-2023 18:45:25
39,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option
40,1001.2758,,,07-Apr-2023 18:45:25
41,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH
42,1213.9923,,,07-Apr-2023 18:45:25
43,ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH,ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH,ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH,ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH
44,1207.6095,,,07-Apr-2023 18:45:25
45,Axis Mutual Fund,Axis Mutual Fund,Axis Mutual Fund,Axis Mutual Fund
46,Axis Liquid Fund,Axis Liquid Fund,Axis Liquid Fund,Axis Liquid Fund
47,Axis Liquid Fund - Direct Plan - Daily IDCW,Axis Liquid Fund - Direct Plan - Daily IDCW,Axis Liquid Fund - Direct Plan - Daily IDCW,Axis Liquid Fund - Direct Plan - Daily IDCW
48,1000.9560,,,07-Apr-2023 16:21:41
49,Axis Liquid Fund - Direct Plan - Growth Option,Axis Liquid Fund - Direct Plan - Growth Option,Axis Liquid Fund - Direct Plan - Growth Option,Axis Liquid Fund - Direct Plan - Growth Option
50,2504.8230,,,07-Apr-2023 16:21:41
51,Axis Liquid Fund - Direct Plan - Monthly IDCW,Axis Liquid Fund - Direct Plan - Monthly IDCW,Axis Liquid Fund - Direct Plan - Monthly IDCW,Axis Liquid Fund - Direct Plan - Monthly IDCW
52,1003.6224,,,07-Apr-2023 16:21:41
53,Axis Liquid Fund - Direct Plan - Weekly IDCW,Axis Liquid Fund - Direct Plan - Weekly IDCW,Axis Liquid Fund - Direct Plan - Weekly IDCW,Axis Liquid Fund - Direct Plan - Weekly IDCW
54,1002.9878,,,07-Apr-2023 16:21:41
55,Axis Liquid Fund - Regular Plan - Daily IDCW,Axis Liquid Fund - Regular Plan - Daily IDCW,Axis Liquid Fund - Regular Plan - Daily IDCW,Axis Liquid Fund - Regular Plan - Daily IDCW
56,1001.3998,,,07-Apr-2023 16:21:41
57,Axis Liquid Fund - Regular Plan - Growth Option,Axis Liquid Fund - Regular Plan - Growth Option,Axis Liquid Fund - Regular Plan - Growth Option,Axis Liquid Fund - Regular Plan - Growth Option
58,2488.0303,,,07-Apr-2023 16:21:41
59,Axis Liquid Fund - Regular Plan - Monthly IDCW,Axis Liquid Fund - Regular Plan - Monthly IDCW,Axis Liquid Fund - Regular Plan - Monthly IDCW,Axis Liquid Fund - Regular Plan - Monthly IDCW
60,1004.1929,,,07-Apr-2023 16:21:41
61,Axis Liquid Fund - Regular Plan - Weekly IDCW,Axis Liquid Fund - Regular Plan - Weekly IDCW,Axis Liquid Fund - Regular Plan - Weekly IDCW,Axis Liquid Fund - Regular Plan - Weekly IDCW
62,1002.9797,,,07-Apr-2023 16:21:41
63,Axis Liquid Fund - Retail Plan - Daily IDCW,Axis Liquid Fund - Retail Plan - Daily IDCW,Axis Liquid Fund - Retail Plan - Daily IDCW,Axis Liquid Fund - Retail Plan - Daily IDCW
64,1000.9559,,,07-Apr-2023 16:21:41
65,Axis Liquid Fund - Retail Plan - Growth Option,Axis Liquid Fund - Retail Plan - Growth Option,Axis Liquid Fund - Retail Plan - Growth Option,Axis Liquid Fund - Retail Plan - Growth Option
66,2303.7962,,,07-Apr-2023 16:21:41
67,Axis Liquid Fund - Retail Plan - Monthly IDCW,Axis Liquid Fund - Retail Plan - Monthly IDCW,Axis Liquid Fund - Retail Plan - Monthly IDCW,Axis Liquid Fund - Retail Plan - Monthly IDCW
68,1003.4604,,,07-Apr-2023 16:21:41
69,Axis Liquid Fund - Retail Plan - Weekly IDCW,Axis Liquid Fund - Retail Plan - Weekly IDCW,Axis Liquid Fund - Retail Plan - Weekly IDCW,Axis Liquid Fund - Retail Plan - Weekly IDCW
70,1001.5155,,,07-Apr-2023 16:21:41
71,Axis Overnight Fund,Axis Overnight Fund,Axis Overnight Fund,Axis Overnight Fund
72,Axis Overnight Fund - Direct Plan - Daily IDCW,Axis Overnight Fund - Direct Plan - Daily IDCW,Axis Overnight Fund - Direct Plan - Daily IDCW,Axis Overnight Fund - Direct Plan - Daily IDCW
73,1000.5073,,,07-Apr-2023 16:21:41
74,Axis Overnight Fund - Direct Plan - Growth Option,Axis Overnight Fund - Direct Plan - Growth Option,Axis Overnight Fund - Direct Plan - Growth Option,Axis Overnight Fund - Direct Plan - Growth Option
75,1187.0746,,,07-Apr-2023 16:21:41
76,Axis Overnight Fund - Direct Plan - Monthly IDCW,Axis Overnight Fund - Direct Plan - Monthly IDCW,Axis Overnight Fund - Direct Plan - Monthly IDCW,Axis Overnight Fund - Direct Plan - Monthly IDCW
77,1002.8854,,,07-Apr-2023 16:21:41
78,Axis Overnight Fund - Direct Plan - Weekly IDCW,Axis Overnight Fund - Direct Plan - Weekly IDCW,Axis Overnight Fund - Direct Plan - Weekly IDCW,Axis Overnight Fund - Direct Plan - Weekly IDCW
79,1001.4076,,,07-Apr-2023 16:21:41
80,Axis Overnight Fund - Regular Plan - Daily IDCW,Axis Overnight Fund - Regular Plan - Daily IDCW,Axis Overnight Fund - Regular Plan - Daily IDCW,Axis Overnight Fund - Regular Plan - Daily IDCW
81,1000.5032,,,07-Apr-2023 16:21:41
82,Axis Overnight Fund - Regular Plan - Growth Option,Axis Overnight Fund - Regular Plan - Growth Option,Axis Overnight Fund - Regular Plan - Growth Option,Axis Overnight Fund - Regular Plan - Growth Option
83,1184.2084,,,07-Apr-2023 16:21:41
84,Axis Overnight Fund - Regular Plan - Monthly IDCW,Axis Overnight Fund - Regular Plan - Monthly IDCW,Axis Overnight Fund - Regular Plan - Monthly IDCW,Axis Overnight Fund - Regular Plan - Monthly IDCW
85,1002.8641,,,07-Apr-2023 16:21:41
86,Axis Overnight Fund - Regular Plan - Weekly IDCW,Axis Overnight Fund - Regular Plan - Weekly IDCW,Axis Overnight Fund - Regular Plan - Weekly IDCW,Axis Overnight Fund - Regular Plan - Weekly IDCW
87,1001.3687,,,07-Apr-2023 16:21:41
88,Bandhan Mutual Fund,Bandhan Mutual Fund,Bandhan Mutual Fund,Bandhan Mutual Fund
89,BANDHAN LIQUID Fund,BANDHAN LIQUID Fund,BANDHAN LIQUID Fund,BANDHAN LIQUID Fund
90,BANDHAN LIQUID Fund - Regular Plan - Daily IDCW,BANDHAN LIQUID Fund - Regular Plan - Daily IDCW,BANDHAN LIQUID Fund - Regular Plan - Daily IDCW,BANDHAN LIQUID Fund - Regular Plan - Daily IDCW
91,1001.2647,,,07-Apr-2023 13:03:38
92,BANDHAN LIQUID Fund - Regular Plan - Growth,BANDHAN LIQUID Fund - Regular Plan - Growth,BANDHAN LIQUID Fund - Regular Plan - Growth,BANDHAN LIQUID Fund - Regular Plan - Growth
93,2704.7014,,,07-Apr-2023 13:03:38
94,BANDHAN LIQUID Fund - Regular Plan - Monthly IDCW,BANDHAN LIQUID Fund - Regular Plan - Monthly IDCW,BANDHAN LIQUID Fund - Regular Plan - Monthly IDCW,BANDHAN LIQUID Fund - Regular Plan - Monthly IDCW
95,1002.6739,,,07-Apr-2023 13:03:38
96,BANDHAN LIQUID Fund - Regular Plan - Periodic IDCW,BANDHAN LIQUID Fund - Regular Plan - Periodic IDCW,BANDHAN LIQUID Fund - Regular Plan - Periodic IDCW,BANDHAN LIQUID Fund - Regular Plan - Periodic IDCW
97,1167.7331,,,07-Apr-2023 13:03:38
98,BANDHAN LIQUID Fund - Regular Plan - Weekly IDCW,BANDHAN LIQUID Fund - Regular Plan - Weekly IDCW,BANDHAN LIQUID Fund - Regular Plan - Weekly IDCW,BANDHAN LIQUID Fund - Regular Plan - Weekly IDCW
99,1001.2673,,,07-Apr-2023 13:03:38
100,BANDHAN LIQUID Fund - Unclaimed IDCW Less than 3 years,BANDHAN LIQUID Fund - Unclaimed IDCW Less than 3 years,BANDHAN LIQUID Fund - Unclaimed IDCW Less than 3 years,BANDHAN LIQUID Fund - Unclaimed IDCW Less than 3 years
101,1.4504,,,07-Apr-2023 13:03:38
102,BANDHAN LIQUID Fund - Unclaimed IDCW More than 3 years,BANDHAN LIQUID Fund - Unclaimed IDCW More than 3 years,BANDHAN LIQUID Fund - Unclaimed IDCW More than 3 years,BANDHAN LIQUID Fund - Unclaimed IDCW More than 3 years
103,1.0000,,,07-Apr-2023 13:03:38
104,BANDHAN LIQUID Fund - Unclaimed Redemption Less than 3 years,BANDHAN LIQUID Fund - Unclaimed Redemption Less than 3 years,BANDHAN LIQUID Fund - Unclaimed Redemption Less than 3 years,BANDHAN LIQUID Fund - Unclaimed Redemption Less than 3 years
105,1.4504,,,07-Apr-2023 13:03:38
106,BANDHAN LIQUID Fund - Unclaimed Redemption More than 3 years,BANDHAN LIQUID Fund - Unclaimed Redemption More than 3 years,BANDHAN LIQUID Fund - Unclaimed Redemption More than 3 years,BANDHAN LIQUID Fund - Unclaimed Redemption More than 3 years
107,1.0000,,,07-Apr-2023 13:03:38
108,BANDHAN LIQUID Fund -Direct Plan -Monthly IDCW,BANDHAN LIQUID Fund -Direct Plan -Monthly IDCW,BANDHAN LIQUID Fund -Direct Plan -Monthly IDCW,BANDHAN LIQUID Fund -Direct Plan -Monthly IDCW
109,1009.4355,,,07-Apr-2023 13:03:38
