decile,n_obs,n_isins,n_qtrs,avg_holders,mean_excess_pct,median_excess_pct,sd_excess_pct
1,734,243,34,1.4,-3.621,-13.352,54.376
2,732,325,34,1.4,-1.75,-8.103,43.492
3,729,362,34,1.5,-6.513,-11.757,38.839
4,722,367,34,1.8,-5.171,-10.216,40.97
5,718,382,34,2.2,-5.661,-9.744,39.248
6,714,387,34,2.7,-2.676,-8.393,39.001
7,711,366,34,3.5,-4.59,-7.825,39.129
8,710,320,34,4.6,-3.079,-6.746,39.685
9,708,266,34,6.6,-2.973,-4.31,35.187
10,704,155,34,11.7,-6.487,-7.502,29.681
