amc_name,seed_url,status,detected_strategy,strategy_confidence,source_role,source_type,source_provenance,requires_javascript,static_links_found,rendered_links_found,download_links_found,candidate_document_links_found,file_types_found,failure_reason,debug_folder
360 ONE Mutual Fund,https://www.360one.com/asset-management/mutual-fund/downloads/,manual_review_required,manual_review,unknown,primary_provider,provider_homepage,,,0,0,0,0,,,data/debug/mutual_funds/provider_profiles/360_one_mutual_fund
Abakkus Mutual Fund,https://abakkusmf.com/,failed,manual_review,unknown,primary_provider,provider_homepage,,,0,0,0,0,,"static_html: HTTPSConnectionPool(host='www.abakkusmf.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.abakkusmf.com', port=443) at 0x11489a0d0>, 'Connection to www.abakkusmf.com timed out. (connect timeout=30)')); playwright: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",data/debug/mutual_funds/provider_profiles/abakkus_mutual_fund
Aditya Birla Sun Life Mutual Fund,https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio,success,static_html,unknown,primary_provider,provider_homepage,,False,509,0,3,37,pdf,,data/debug/mutual_funds/provider_profiles/aditya_birla_sun_life_mutual_fund
HDFC Mutual Fund,https://www.hdfcfund.com/statutory-disclosure/portfolio-disclosure,failed,manual_review,unknown,primary_provider,provider_homepage,,,0,0,0,0,,"static_html: 404 Client Error: Not Found for url: https://www.hdfcfund.com/statutory-disclosure/portfolio-disclosure; playwright: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",data/debug/mutual_funds/provider_profiles/hdfc_mutual_fund
PPFAS Mutual Fund,https://amc.ppfas.com/downloads/,success,static_html,unknown,primary_provider,provider_homepage,,False,74,0,2,13,pdf,,data/debug/mutual_funds/provider_profiles/ppfas_mutual_fund
